,acousticness,loudness,energy,explicit
115601,0.632,-11.679,0.399,0
44519,0.927,-18.963,0.187,0
244864,0.379,-8.089,0.589,0
389407,0.00137,-3.403,0.616,1
407597,0.222,-10.093,0.558,0
428914,0.983,-14.697,0.314,0
216141,0.467,-8.399,0.589,0
298699,0.258,-15.462,0.346,0
171158,0.0143,-8.789,0.715,0
223957,0.144,-6.491,0.872,0
417281,0.986,-19.98,0.2,0
509519,0.306,-4.747,0.712,0
167526,0.258,-5.143,0.919,0
53582,0.199,-8.988,0.88,0
63078,0.453,-13.107,0.286,0
529940,0.32,-6.073,0.571,0
255405,0.292,-4.839,0.81,0
581135,0.445,-7.682,0.739,0
402748,0.228,-6.056,0.762,0
575061,0.0423,-10.603,0.655,0
284903,0.293,-4.352,0.625,0
147553,0.383,-15.603,0.365,0
304830,0.00147,-3.579,0.878,0
510198,0.727,-11.272,0.376,0
447659,0.8,-6.895,0.521,0
560752,0.94,-18.291,0.0687,0
339657,0.000368,-13.934,0.885,0
32371,0.304,-19.673,0.465,0
383967,0.738,-8.027,0.889,1
52941,0.607,-7.35,0.668,0
324596,0.0548,-8.467,0.738,0
231738,0.283,-9.044,0.553,1
492304,0.0141,-4.998,0.926,0
526945,0.157,-11.007,0.514,0
12699,0.947,-14.879,0.176,0
73312,0.0963,-6.224,0.544,0
450532,0.652,-11.163,0.389,0
453039,0.82,-27.222,0.0291,0
184545,0.00194,-7.592,0.706,0
418878,0.705,-12.436,0.431,0
465897,0.016,-10.124,0.592,0
346107,0.89,-13.96,0.0984,0
223680,0.79,-14.948,0.49,0
241142,0.00465,-9.58,0.887,0
83183,0.448,-7.564,0.494,0
277869,0.728,-8.72,0.439,0
577181,0.926,-9.086,0.297,0
387407,0.0473,-4.805,0.82,0
227550,0.175,-7.822,0.923,0
481393,0.164,-6.742,0.664,0
550826,0.247,-11.823,0.551,0
77323,0.88,-28.736,0.0841,0
563799,0.0365,-10.573,0.779,0
201092,0.00902,-2.256,0.781,0
438784,0.311,-3.167,0.683,0
486022,0.662,-17.535,0.367,0
130103,0.0421,-6.911,0.88,0
440633,0.000143,-7.156,0.979,0
344434,0.149,-8.247,0.472,0
293668,0.484,-6.979,0.887,0
337187,0.065,-6.152,0.605,0
187915,0.279,-6.446,0.732,0
21109,0.933,-18.396,0.121,0
472588,0.153,-4.1,0.846,0
460914,0.000147,-3.508,0.749,0
273699,0.704,-7.967,0.378,0
457406,0.537,-9.744,0.643,0
181803,0.601,-9.627,0.49,0
572631,0.421,-9.469,0.533,0
73167,0.145,-5.185,0.925,0
270395,0.737,-16.764,0.234,0
269122,0.722,-18.912,0.643,0
338643,0.238,-10.343,0.387,0
551598,0.329,-13.075,0.548,0
35093,0.775,-10.364,0.341,0
373752,0.0183,-9.391,0.518,0
570951,0.483,-10.901,0.528,0
466468,0.0337,-11.672,0.686,0
250047,0.554,-8.575,0.635,0
307935,0.99,-12.194,0.134,0
272192,0.595,-8.267,0.429,0
145904,0.848,-19.307,0.179,0
116037,0.101,-2.495,0.828,0
12377,0.994,-17.541,0.234,0
348938,1.42e-05,-8.335,0.887,0
256384,0.289,-1.986,0.857,0
18125,0.995,-16.535,0.219,0
118195,0.0131,-6.119,0.896,0
113975,0.167,-15.411,0.459,0
585584,0.776,-6.538,0.766,0
383220,0.713,-12.711,0.578,0
278560,0.426,-5.743,0.487,0
466897,0.0627,-7.744,0.793,1
451979,0.449,-9.71,0.565,0
98561,0.854,-14.79,0.624,0
126152,0.678,-10.738,0.339,0
179971,0.778,-9.953,0.906,0
91052,0.000343,-9.036,0.816,0
490325,0.121,-4.447,0.631,1
139607,0.086,-5.456,0.509,0
342054,0.337,-13.478,0.524,1
258129,0.545,-8.129,0.514,0
557335,0.0215,-4.02,0.827,0
283273,0.952,-20.417,0.211,0
347989,0.457,-5.924,0.953,0
442213,0.0213,-5.691,0.903,0
498850,0.443,-11.188,0.432,0
457338,0.926,-12.423,0.688,0
438349,0.048,-5.213,0.819,0
19968,0.993,-21.562,0.0477,0
134687,0.977,-7.072,0.405,0
314035,0.94,-20.479,0.0373,0
129092,0.17,-10.784,0.633,0
7471,0.489,-21.582,0.267,0
441090,0.0676,-7.039,0.952,0
45086,0.975,-25.0,0.0222,0
51444,0.649,-14.553,0.375,0
368532,0.0128,-9.246,0.614,0
443840,0.987,-9.069,0.611,0
73557,0.00399,-12.959,0.468,0
238699,0.378,-6.869,0.392,0
295190,0.047,-7.912,0.582,0
150698,0.27,-6.929,0.574,0
518981,0.985,-10.621,0.258,0
239767,0.22,-7.433,0.795,0
369227,0.823,-10.833,0.34,0
246714,0.951,-9.874,0.48,0
73000,0.00331,-6.169,0.945,0
363574,0.0151,-3.442,0.919,0
109086,0.729,-14.067,0.415,0
443567,0.743,-2.205,0.652,0
328505,0.548,-9.533,0.745,0
58172,0.995,-32.85,0.00769,0
