,popularity
115601,68
44519,67
244864,15
389407,42
407597,23
428914,16
216141,21
298699,60
171158,23
223957,5
417281,25
509519,27
167526,8
53582,60
63078,45
529940,49
255405,45
581135,20
402748,30
575061,34
284903,39
147553,34
304830,2
510198,18
447659,28
560752,40
339657,16
32371,18
383967,26
52941,46
324596,18
231738,42
492304,46
526945,26
12699,4
73312,50
450532,45
453039,26
184545,42
418878,17
465897,43
346107,17
223680,8
241142,32
83183,25
277869,31
577181,20
387407,47
227550,16
481393,53
550826,13
77323,3
563799,20
201092,52
438784,62
486022,15
130103,0
440633,25
344434,44
293668,49
337187,61
187915,51
21109,1
472588,26
460914,33
273699,42
457406,16
181803,23
572631,29
73167,52
270395,22
269122,23
338643,10
551598,33
35093,22
373752,53
570951,16
466468,34
250047,34
307935,29
272192,20
145904,29
116037,2
12377,0
348938,31
256384,67
18125,0
118195,24
113975,12
585584,5
383220,38
278560,33
466897,40
451979,13
98561,30
126152,32
179971,12
91052,35
490325,55
139607,17
342054,20
258129,15
557335,41
283273,35
347989,27
442213,60
498850,35
457338,22
438349,62
19968,0
134687,0
314035,1
129092,47
7471,0
441090,34
45086,40
51444,36
368532,34
443840,2
73557,0
238699,5
295190,66
150698,40
518981,6
239767,21
369227,42
246714,3
73000,54
363574,30
109086,52
443567,44
328505,28
58172,44
343354,43
104288,12
61375,42
495680,27
233822,35
531336,61
219333,2
185632,51
468470,20
457490,12
3619,0
376928,12
379183,50
161425,26
559899,37
357743,26
507117,21
92702,6
95846,16
39009,33
294644,32
107736,33
420179,38
259296,10
209136,38
7288,15
200606,50
46762,49
333808,47
41099,36
320035,15
229965,56
441623,16
497791,35
30921,27
527704,27
7674,0
80604,8
324970,21
556411,34
295647,40
51190,40
7623,0
319225,4
345358,7
312468,37
215474,15
137839,16
235391,30
172699,35
95473,2
55649,55
229441,18
211779,2
585215,64
131604,0
277942,49
226683,37
496162,25
258127,6
140811,25
135302,0
484488,35
204064,17
476603,20
66737,55
394399,27
114834,66
27187,0
76494,69
201909,11
120719,46
47466,36
192952,12
260083,25
306386,27
490524,2
426851,48
574658,35
571523,21
195777,12
483972,15
264613,28
488726,45
292373,24
316988,4
282704,12
407071,7
81549,65
575104,42
258098,1
267235,24
179457,0
363629,23
101208,31
554141,25
464704,2
43320,35
362561,24
376146,23
273755,39
340871,20
356832,25
307249,6
574993,41
580833,25
164181,26
57356,39
458561,19
298386,41
475078,38
368612,30
102545,24
535128,27
332180,49
554138,25
565753,14
541570,25
469287,28
95266,6
291041,9
303493,39
167137,10
74166,57
351530,58
529726,42
319059,4
331191,34
117062,38
143048,25
407995,12
300216,42
268320,23
104566,38
382367,68
336792,39
454469,32
122339,0
296495,31
126013,25
78520,67
82810,0
322261,27
392465,21
517932,14
329753,27
470204,39
362484,28
44761,49
392837,13
161820,21
239489,0
257018,66
426688,49
455961,42
111493,21
432830,27
459781,23
287728,19
146285,28
102847,37
80968,60
146386,20
126655,36
302868,8
517275,17
151043,32
42770,46
90601,12
48368,35
381645,63
52150,41
305709,8
424527,31
465311,32
280462,4
368938,28
347496,23
184112,18
178994,12
154981,53
91942,31
535356,22
508512,40
523040,10
271665,26
24742,10
16987,11
38261,27
542783,13
226080,27
458412,17
40516,70
393207,16
353612,14
367169,37
202230,10
373061,51
111461,24
412141,11
530468,39
489942,38
564159,19
421443,5
312639,41
47458,37
398308,43
125679,16
531279,48
408507,10
377562,31
114110,4
390645,0
238553,65
177331,40
64839,52
393251,28
124805,0
583322,39
290386,13
138955,20
237316,28
356784,47
270776,10
310987,43
566362,12
351224,46
145077,19
46605,57
119954,29
569619,44
496481,25
123881,0
515482,3
228732,27
60226,42
486720,51
43225,36
357824,58
532827,4
161501,0
433776,34
298632,21
581097,21
269297,15
110920,0
21361,0
118949,39
87697,6
116186,0
302917,57
422737,21
95480,13
262024,39
422925,20
489084,14
541803,7
269321,23
172701,34
426840,46
162919,19
554505,24
468698,73
577509,12
257110,4
38192,28
280321,2
586453,36
138112,16
73886,60
353595,7
565997,8
56182,41
501063,65
195958,6
184123,43
218004,54
248883,22
166846,30
28654,26
144196,26
583847,48
485532,36
357150,48
450526,46
568522,36
388827,39
398068,45
530549,53
153174,25
82913,4
567028,26
101939,26
245393,49
168807,25
145322,29
423446,24
447124,16
257540,19
236695,39
569136,42
224349,11
44334,36
337196,57
77128,1
531261,48
62526,61
471228,1
342133,16
337438,42
337988,3
416455,52
219216,3
384621,26
338268,21
206622,9
135535,0
475693,42
476038,2
205349,27
87986,30
586105,16
114658,7
271578,30
573645,42
305667,0
283823,14
149191,2
383445,33
205993,30
118454,13
540830,6
356718,25
281363,9
394964,19
409069,17
327588,15
389418,40
556248,24
6551,0
495525,25
6375,1
302962,37
486086,45
255946,45
249777,10
125620,17
513009,0
317574,27
63070,45
349892,39
362855,6
103283,31
30276,16
212926,3
501887,5
569159,41
166620,19
404492,49
525351,21
326018,24
526430,29
413259,23
156025,53
187972,53
544547,23
517115,5
39982,42
408950,19
56937,46
511202,0
467447,58
214587,31
276705,38
298075,42
361984,9
132728,0
516258,8
360139,35
219810,6
525054,21
457459,10
336062,30
322606,54
271456,20
268553,30
317372,3
381470,62
78204,58
213324,7
563726,3
464090,67
291151,27
239446,6
92111,79
182379,30
354167,2
69756,55
169526,41
255149,47
226939,32
102,0
110626,49
2704,0
487445,47
96081,16
122884,0
148402,11
380183,36
74618,67
370554,39
33781,32
328148,29
419476,23
206377,28
277040,39
236787,52
31182,21
134768,0
486691,36
193454,33
583341,45
76353,56
273603,23
379361,40
260917,32
556689,25
123065,0
585750,1
566042,9
473893,32
574233,33
266310,1
28044,11
146478,33
149119,34
159221,19
319155,11
385460,19
66111,48
353913,19
356522,12
144324,20
354757,18
19644,8
231085,1
263003,32
154686,32
436026,41
206826,36
77102,58
356964,26
38073,30
186362,38
78325,0
495186,19
287400,5
88111,75
232105,49
164952,31
301699,29
10775,8
376970,32
317063,27
409128,17
491579,40
465748,36
496051,27
132833,0
378960,25
2803,0
102543,37
153386,21
378339,27
391933,24
252407,42
23789,9
459215,18
499657,40
576287,2
325445,22
117586,38
519244,22
277270,44
581066,23
433722,37
1285,1
574836,35
120061,33
529037,51
245549,58
112383,75
121031,3
438797,61
216782,43
190855,27
474248,38
73037,53
257557,7
348083,22
182903,26
138168,16
261033,22
461496,42
383926,22
457300,8
71542,65
494170,16
6658,0
390565,0
131574,60
506125,9
430530,23
476524,14
579923,23
423247,25
284019,12
216550,35
375912,6
567782,31
220880,3
470349,44
458994,23
133654,0
364419,11
388929,52
269581,12
214228,31
485213,37
283651,13
267227,26
425368,47
392187,10
489455,29
197791,42
243865,43
520478,13
523735,24
103910,48
442181,46
415383,28
18025,0
39359,27
415144,38
93943,61
300107,51
536077,39
34666,36
185819,3
365958,24
143374,25
16013,10
543560,2
400163,7
148216,28
20001,0
61834,49
188936,0
4778,1
445368,20
361181,4
97041,14
418615,25
567220,43
246486,32
264611,27
158386,36
341734,36
203490,16
212195,1
534846,24
326458,28
363494,26
17531,0
472912,30
38632,49
150119,41
465081,28
33052,25
450483,57
139573,17
293156,52
227333,10
112,0
288110,5
418833,22
509061,25
37245,26
576815,14
169615,22
467395,1
178933,58
51379,37
60942,48
520051,12
449049,33
316816,7
161518,3
433703,38
438020,61
231469,36
164502,10
93845,75
281779,18
120556,40
70819,56
285961,0
186443,54
172534,41
190782,19
527175,28
521785,18
151444,38
76804,1
426514,49
24410,1
82271,70
164950,6
447707,27
449124,41
447507,22
515871,5
549728,26
251540,6
119417,72
146793,30
305501,2
119199,63
28172,8
178291,44
245857,58
112948,36
316857,21
56049,43
295864,0
160601,8
293842,22
88993,33
313955,2
79523,13
540565,56
380472,3
571163,19
323868,30
57889,49
345345,5
585453,2
170590,27
558855,50
511154,0
501677,10
294198,52
387618,37
506612,10
369863,47
516259,8
168445,41
384236,13
257011,69
276773,41
315493,28
468178,58
467892,54
568965,56
53254,41
357842,35
32000,25
108382,37
343490,30
129844,55
136212,0
166906,34
237350,47
125882,18
232921,21
12598,3
204339,32
78685,6
582854,33
160088,1
533402,5
204748,31
419889,30
22212,0
311538,39
30482,13
402438,27
74986,0
410019,16
356190,18
2475,1
24207,0
509543,27
505242,1
50286,39
140906,23
232192,1
18205,0
267537,30
468732,64
507631,22
482002,1
252326,7
258650,2
235824,28
556903,40
477221,32
523911,40
355331,3
103670,36
298966,26
493974,13
492360,37
420004,29
160347,0
299731,35
99502,29
513241,0
503470,28
25728,13
423388,22
68076,51
361031,16
468025,54
208278,42
187688,62
49321,37
454520,40
271096,20
451136,54
363056,25
528953,34
375147,1
424798,33
36663,44
152457,27
236884,40
252768,27
94142,78
339918,15
79946,61
410672,9
498566,34
413055,21
389697,61
338451,16
182393,19
458682,17
369394,31
43941,43
383054,13
491449,26
545140,17
404182,25
123159,1
278241,39
93619,11
389086,59
7710,0
265538,0
275025,40
392585,25
268516,25
184061,44
264605,30
490349,39
239937,22
351008,54
354200,20
520164,21
133942,0
438921,58
576031,54
369095,32
360473,1
2302,1
350577,37
62636,55
299676,35
527891,37
209531,44
400603,8
552678,37
539416,43
296270,4
379239,45
296086,1
402165,23
315295,26
542362,11
14649,0
160513,2
298791,36
404912,49
542152,28
493716,15
100967,33
282179,25
4661,0
334532,31
364947,20
258787,36
268284,3
135913,0
113809,3
311764,35
581951,34
237255,46
